Key,Initiative Cards,Sub Initiative,Metric,Month,Actual,Forecast,YTD Actual Totals,YTD Forecast Totals
Initiative Cards-Brand Awareness T1-Impressions-January,Initiative Cards,Brand Awareness T1,Impressions,January,"991,848,138.00","706,890,444.57","991,848,138.00","706,890,444.57"
Initiative Cards-Brand Awareness T1-Impressions-February,Initiative Cards,Brand Awareness T1,Impressions,February,"567,333,002.00","562,893,716.42","1,559,181,140.00","1,269,784,160.99"
Initiative Cards-Brand Awareness T1-Impressions-March,Initiative Cards,Brand Awareness T1,Impressions,March,"1,181,770,270.00","968,147,617.86","2,740,951,410.00","2,237,931,778.85"
Initiative Cards-Brand Awareness T1-Impressions-April,Initiative Cards,Brand Awareness T1,Impressions,April,"1,108,240,166.00","723,410,692.86","3,849,191,576.00","2,961,342,471.71"
Initiative Cards-Brand Awareness T1-Impressions-May,Initiative Cards,Brand Awareness T1,Impressions,May,"1,540,490,634.00","1,390,043,334.86","5,389,682,210.00","4,351,385,806.57"
Initiative Cards-Brand Awareness T1-Impressions-June,Initiative Cards,Brand Awareness T1,Impressions,June,"1,899,231,459.00","1,996,696,754.00","7,288,913,669.00","6,348,082,560.57"
Initiative Cards-Brand Awareness T1-Impressions-July,Initiative Cards,Brand Awareness T1,Impressions,July,"2,573,490,998.00","1,482,422,433.00","9,862,404,667.00","7,830,504,993.57"
Initiative Cards-Brand Awareness T1-Impressions-August,Initiative Cards,Brand Awareness T1,Impressions,August,"2,966,403,642.00","2,427,855,087.00","12,828,808,309.00","10,258,360,080.57"
Initiative Cards-Brand Awareness T1-Impressions-September,Initiative Cards,Brand Awareness T1,Impressions,September,"347,329,918.00","358,411,970.00","13,176,138,227.00","10,616,772,050.57"
Initiative Cards-Brand Awareness T1-Impressions-October,Initiative Cards,Brand Awareness T1,Impressions,October,"2,782,649,340.00","2,921,941,136.00","15,958,787,567.00","13,538,713,186.57"
Initiative Cards-Brand Awareness T1-Impressions-November,Initiative Cards,Brand Awareness T1,Impressions,November,"3,033,779,679.00","3,818,084,127.00","18,992,567,246.00","17,356,797,313.57"
Initiative Cards-Brand Awareness T1-Impressions-December,Initiative Cards,Brand Awareness T1,Impressions,December,"3,338,896,844.00","2,271,401,528.00","22,331,464,090.00","19,628,198,841.57"
Initiative Cards-Brand Awareness T1-Engagement-January,Initiative Cards,Brand Awareness T1,Engagement,January,"267,199,057.00","197,448,701.81","267,199,057.00","197,448,701.81"
Initiative Cards-Brand Awareness T1-Engagement-February,Initiative Cards,Brand Awareness T1,Engagement,February,"136,898,146.00","143,217,023.81","404,097,203.00","340,665,725.62"
Initiative Cards-Brand Awareness T1-Engagement-March,Initiative Cards,Brand Awareness T1,Engagement,March,"199,895,207.00","124,841,766.06","603,992,410.00","465,507,491.68"
Initiative Cards-Brand Awareness T1-Engagement-April,Initiative Cards,Brand Awareness T1,Engagement,April,"75,108,140.00","50,969,754.06","679,100,550.00","516,477,245.75"
Initiative Cards-Brand Awareness T1-Engagement-May,Initiative Cards,Brand Awareness T1,Engagement,May,"155,287,797.00","141,584,085.06","834,388,347.00","658,061,330.81"
Initiative Cards-Brand Awareness T1-Engagement-June,Initiative Cards,Brand Awareness T1,Engagement,June,"545,456,116.00","424,030,655.00","1,379,844,463.00","1,082,091,985.81"
Initiative Cards-Brand Awareness T1-Engagement-July,Initiative Cards,Brand Awareness T1,Engagement,July,"405,764,411.00","291,338,509.00","1,785,608,874.00","1,373,430,494.81"
Initiative Cards-Brand Awareness T1-Engagement-August,Initiative Cards,Brand Awareness T1,Engagement,August,"582,744,328.00","356,439,909.00","2,368,353,202.00","1,729,870,403.81"
Initiative Cards-Brand Awareness T1-Engagement-September,Initiative Cards,Brand Awareness T1,Engagement,September,"65,819,873.00","61,316,365.00","2,434,173,075.00","1,791,186,768.81"
Initiative Cards-Brand Awareness T1-Engagement-October,Initiative Cards,Brand Awareness T1,Engagement,October,"563,425,104.00","539,098,643.00","2,997,598,179.00","2,330,285,411.81"
Initiative Cards-Brand Awareness T1-Engagement-November,Initiative Cards,Brand Awareness T1,Engagement,November,"569,652,266.00","916,361,734.00","3,567,250,445.00","3,246,647,145.81"
Initiative Cards-Brand Awareness T1-Engagement-December,Initiative Cards,Brand Awareness T1,Engagement,December,"613,277,695.00","388,935,208.00","4,180,528,140.00","3,635,582,353.81"
Initiative Cards-Brand Awareness T1-Paid Sessions-January,Initiative Cards,Brand Awareness T1,Paid Sessions,January,"1,747,492.00","1,357,120.58","1,747,492.00","1,357,120.58"
Initiative Cards-Brand Awareness T1-Paid Sessions-February,Initiative Cards,Brand Awareness T1,Paid Sessions,February,"1,863,637.00","1,804,640.04","3,611,129.00","3,161,760.62"
Initiative Cards-Brand Awareness T1-Paid Sessions-March,Initiative Cards,Brand Awareness T1,Paid Sessions,March,"4,516,549.00","3,713,795.65","8,127,678.00","6,875,556.27"
Initiative Cards-Brand Awareness T1-Paid Sessions-April,Initiative Cards,Brand Awareness T1,Paid Sessions,April,"4,639,386.00","2,709,638.65","12,767,064.00","9,585,194.93"
Initiative Cards-Brand Awareness T1-Paid Sessions-May,Initiative Cards,Brand Awareness T1,Paid Sessions,May,"6,264,491.00","4,236,427.65","19,031,555.00","13,821,622.58"
Initiative Cards-Brand Awareness T1-Paid Sessions-June,Initiative Cards,Brand Awareness T1,Paid Sessions,June,"7,416,750.00","3,928,694.00","26,448,305.00","17,750,316.58"
Initiative Cards-Brand Awareness T1-Paid Sessions-July,Initiative Cards,Brand Awareness T1,Paid Sessions,July,"10,195,829.00","2,865,156.00","36,644,134.00","20,615,472.58"
Initiative Cards-Brand Awareness T1-Paid Sessions-August,Initiative Cards,Brand Awareness T1,Paid Sessions,August,"8,048,113.00","2,635,131.00","44,692,247.00","23,250,603.58"
Initiative Cards-Brand Awareness T1-Paid Sessions-September,Initiative Cards,Brand Awareness T1,Paid Sessions,September,"1,198,610.00","1,243,972.00","45,890,857.00","24,494,575.58"
Initiative Cards-Brand Awareness T1-Paid Sessions-October,Initiative Cards,Brand Awareness T1,Paid Sessions,October,"13,473,075.00","10,908,933.00","59,363,932.00","35,403,508.58"
Initiative Cards-Brand Awareness T1-Paid Sessions-November,Initiative Cards,Brand Awareness T1,Paid Sessions,November,"13,379,259.00","12,101,361.00","72,743,191.00","47,504,869.58"
Initiative Cards-Brand Awareness T1-Paid Sessions-December,Initiative Cards,Brand Awareness T1,Paid Sessions,December,"12,814,604.00","10,949,763.00","85,557,795.00","58,454,632.58"
Initiative Cards-Brand Awareness UAE-Impressions-January,Initiative Cards,Brand Awareness UAE,Impressions,January,"73,885,995.00","85,175,667.27","73,885,995.00","85,175,667.27"
Initiative Cards-Brand Awareness UAE-Impressions-February,Initiative Cards,Brand Awareness UAE,Impressions,February,"50,166,858.00","52,051,796.66","124,052,853.00","137,227,463.93"
Initiative Cards-Brand Awareness UAE-Impressions-March,Initiative Cards,Brand Awareness UAE,Impressions,March,"62,742,320.00","53,006,877.66","186,795,173.00","190,234,341.59"
Initiative Cards-Brand Awareness UAE-Impressions-April,Initiative Cards,Brand Awareness UAE,Impressions,April,"21,764,219.00","13,424,870.00","208,559,392.00","203,659,211.59"
Initiative Cards-Brand Awareness UAE-Impressions-May,Initiative Cards,Brand Awareness UAE,Impressions,May,"83,109,611.00","106,774,240.00","291,669,003.00","310,433,451.59"
Initiative Cards-Brand Awareness UAE-Impressions-June,Initiative Cards,Brand Awareness UAE,Impressions,June,"183,384,613.00","112,666,568.00","475,053,616.00","423,100,019.59"
Initiative Cards-Brand Awareness UAE-Impressions-July,Initiative Cards,Brand Awareness UAE,Impressions,July,"215,926,236.00","112,666,568.00","690,979,852.00","535,766,587.59"
Initiative Cards-Brand Awareness UAE-Impressions-August,Initiative Cards,Brand Awareness UAE,Impressions,August,"183,407,005.00","103,692,146.00","874,386,857.00","639,458,733.59"
Initiative Cards-Brand Awareness UAE-Impressions-September,Initiative Cards,Brand Awareness UAE,Impressions,September,"67,579,992.00","65,135,943.00","941,966,849.00","704,594,676.59"
Initiative Cards-Brand Awareness UAE-Impressions-October,Initiative Cards,Brand Awareness UAE,Impressions,October,"304,813,577.00","331,017,631.00","1,246,780,426.00","1,035,612,307.59"
Initiative Cards-Brand Awareness UAE-Impressions-November,Initiative Cards,Brand Awareness UAE,Impressions,November,"433,107,394.00","487,266,564.00","1,679,887,820.00","1,522,878,871.59"
Initiative Cards-Brand Awareness UAE-Impressions-December,Initiative Cards,Brand Awareness UAE,Impressions,December,"299,788,356.00","280,956,174.00","1,979,676,176.00","1,803,835,045.59"
Initiative Cards-Brand Awareness UAE-Engagement-January,Initiative Cards,Brand Awareness UAE,Engagement,January,"12,915,819.00","15,675,464.91","12,915,819.00","15,675,464.91"
