Key,Initiative Cards,Sub Initiative,Metric,Month,Actual,Forecast,YTD Actual Totals,YTD Forecast Totals
Initiative Cards-Brand Awareness T1-Impressions-January,Initiative Cards,Brand Awareness T1,Impressions,January,"991,848,138","706,890,445","991,848,138","706,890,445"
Initiative Cards-Brand Awareness T1-Impressions-February,Initiative Cards,Brand Awareness T1,Impressions,February,"567,333,002","562,893,716","1,559,181,140","1,269,784,161"
Initiative Cards-Brand Awareness T1-Impressions-March,Initiative Cards,Brand Awareness T1,Impressions,March,"1,181,770,270","968,147,618","2,740,951,410","2,237,931,779"
Initiative Cards-Brand Awareness T1-Impressions-April,Initiative Cards,Brand Awareness T1,Impressions,April,0,"1,018,760,643","2,740,951,410","3,256,692,422"
Initiative Cards-Brand Awareness T1-Impressions-May,Initiative Cards,Brand Awareness T1,Impressions,May,0,"1,975,354,444","2,740,951,410","5,232,046,866"
Initiative Cards-Brand Awareness T1-Impressions-June,Initiative Cards,Brand Awareness T1,Impressions,June,0,"1,671,036,208","2,740,951,410","6,903,083,074"
Initiative Cards-Brand Awareness T1-Impressions-July,Initiative Cards,Brand Awareness T1,Impressions,July,0,"1,149,540,450","2,740,951,410","8,052,623,524"
Initiative Cards-Brand Awareness T1-Impressions-August,Initiative Cards,Brand Awareness T1,Impressions,August,0,"1,058,787,245","2,740,951,410","9,111,410,769"
Initiative Cards-Brand Awareness T1-Impressions-September,Initiative Cards,Brand Awareness T1,Impressions,September,0,"2,785,444,437","2,740,951,410","11,896,855,206"
Initiative Cards-Brand Awareness T1-Impressions-October,Initiative Cards,Brand Awareness T1,Impressions,October,0,"2,467,631,812","2,740,951,410","14,364,487,018"
Initiative Cards-Brand Awareness T1-Impressions-November,Initiative Cards,Brand Awareness T1,Impressions,November,0,"2,935,928,825","2,740,951,410","17,300,415,843"
Initiative Cards-Brand Awareness T1-Impressions-December,Initiative Cards,Brand Awareness T1,Impressions,December,0,"2,344,289,696","2,740,951,410","19,644,705,539"
Initiative Cards-Brand Awareness T1-Engagement-January,Initiative Cards,Brand Awareness T1,Engagement,January,"267,199,057","197,448,702","267,199,057","197,448,702"
Initiative Cards-Brand Awareness T1-Engagement-February,Initiative Cards,Brand Awareness T1,Engagement,February,"136,898,146","143,217,024","404,097,203","340,665,726"
Initiative Cards-Brand Awareness T1-Engagement-March,Initiative Cards,Brand Awareness T1,Engagement,March,"199,895,207","124,841,766","603,992,410","465,507,492"
Initiative Cards-Brand Awareness T1-Engagement-April,Initiative Cards,Brand Awareness T1,Engagement,April,0,"86,925,693","603,992,410","552,433,185"
Initiative Cards-Brand Awareness T1-Engagement-May,Initiative Cards,Brand Awareness T1,Engagement,May,0,"270,050,235","603,992,410","822,483,420"
Initiative Cards-Brand Awareness T1-Engagement-June,Initiative Cards,Brand Awareness T1,Engagement,June,0,"343,945,054","603,992,410","1,166,428,474"
Initiative Cards-Brand Awareness T1-Engagement-July,Initiative Cards,Brand Awareness T1,Engagement,July,0,"210,355,761","603,992,410","1,376,784,235"
Initiative Cards-Brand Awareness T1-Engagement-August,Initiative Cards,Brand Awareness T1,Engagement,August,0,"194,560,021","603,992,410","1,571,344,256"
Initiative Cards-Brand Awareness T1-Engagement-September,Initiative Cards,Brand Awareness T1,Engagement,September,0,"565,654,940","603,992,410","2,136,999,196"
Initiative Cards-Brand Awareness T1-Engagement-October,Initiative Cards,Brand Awareness T1,Engagement,October,0,"483,314,352","603,992,410","2,620,313,548"
Initiative Cards-Brand Awareness T1-Engagement-November,Initiative Cards,Brand Awareness T1,Engagement,November,0,"719,937,055","603,992,410","3,340,250,603"
Initiative Cards-Brand Awareness T1-Engagement-December,Initiative Cards,Brand Awareness T1,Engagement,December,0,"521,062,685","603,992,410","3,861,313,288"
Initiative Cards-Brand Awareness T1-Paid Sessions-January,Initiative Cards,Brand Awareness T1,Paid Sessions,January,"1,747,492","1,357,121","1,747,492","1,357,121"
Initiative Cards-Brand Awareness T1-Paid Sessions-February,Initiative Cards,Brand Awareness T1,Paid Sessions,February,"1,863,637","1,804,640","3,611,129","3,161,761"
