Key,Initiative Cards,Sub Initiative,Metric,Month,Actual,Forecast,YTD Actual Totals,YTD Forecast Totals
Initiative Cards-Strategic Levers-Impressions-January,Initiative Cards,Strategic Levers,Impressions,January,324593184,303447136,324593184,303447136.2
Initiative Cards-Strategic Levers-Impressions-February,Initiative Cards,Strategic Levers,Impressions,February,2415768817,1351064926,2740362001,1654512062
Initiative Cards-Strategic Levers-Impressions-March,Initiative Cards,Strategic Levers,Impressions,March,2579297037,1597540951,5319659038,3252053013
Initiative Cards-Strategic Levers-Impressions-April,Initiative Cards,Strategic Levers,Impressions,April,1460043897,700082640,6779702935,3952135653
Initiative Cards-Strategic Levers-Impressions-May,Initiative Cards,Strategic Levers,Impressions,May,2158259518,1651879768,8937962453,5604015421
Initiative Cards-Strategic Levers-Impressions-June,Initiative Cards,Strategic Levers,Impressions,June,0,913994908,8937962453,6518010329
Initiative Cards-Strategic Levers-Impressions-July,Initiative Cards,Strategic Levers,Impressions,July,0,549929545,8937962453,7067939875
Initiative Cards-Strategic Levers-Impressions-August,Initiative Cards,Strategic Levers,Impressions,August,0,468723922,8937962453,7536663797
Initiative Cards-Strategic Levers-Impressions-September,Initiative Cards,Strategic Levers,Impressions,September,0,1066999475,8937962453,8603663272
Initiative Cards-Strategic Levers-Impressions-October,Initiative Cards,Strategic Levers,Impressions,October,0,2164423502,8937962453,10768086774
Initiative Cards-Strategic Levers-Impressions-November,Initiative Cards,Strategic Levers,Impressions,November,0,1069409928,8937962453,11837496702
Initiative Cards-Strategic Levers-Impressions-December,Initiative Cards,Strategic Levers,Impressions,December,0,2307250569,8937962453,14144747270
Initiative Cards-Strategic Levers-Engagement-January,Initiative Cards,Strategic Levers,Engagement,January,52799810,47506532,52799810,47506532.05
Initiative Cards-Strategic Levers-Engagement-February,Initiative Cards,Strategic Levers,Engagement,February,348642295,202033540,401442105,249540072.5
Initiative Cards-Strategic Levers-Engagement-March,Initiative Cards,Strategic Levers,Engagement,March,323431327,292691671,724873432,542231743.9
Initiative Cards-Strategic Levers-Engagement-April,Initiative Cards,Strategic Levers,Engagement,April,169585522,96004821,894458954,638236564.7
Initiative Cards-Strategic Levers-Engagement-May,Initiative Cards,Strategic Levers,Engagement,May,281210846,233535188,1175669800,871771752.2
Initiative Cards-Strategic Levers-Engagement-June,Initiative Cards,Strategic Levers,Engagement,June,0,162324242,1175669800,1034095994
Initiative Cards-Strategic Levers-Engagement-July,Initiative Cards,Strategic Levers,Engagement,July,0,89478191,1175669800,1123574185
Initiative Cards-Strategic Levers-Engagement-August,Initiative Cards,Strategic Levers,Engagement,August,0,75357564,1175669800,1198931749
Initiative Cards-Strategic Levers-Engagement-September,Initiative Cards,Strategic Levers,Engagement,September,0,202977678,1175669800,1401909428
Initiative Cards-Strategic Levers-Engagement-October,Initiative Cards,Strategic Levers,Engagement,October,0,315314804,1175669800,1717224232
Initiative Cards-Strategic Levers-Engagement-November,Initiative Cards,Strategic Levers,Engagement,November,0,161718466,1175669800,1878942698
Initiative Cards-Strategic Levers-Engagement-December,Initiative Cards,Strategic Levers,Engagement,December,0,400683600,1175669800,2279626298
Initiative Cards-Strategic Levers-Paid Sessions-January,Initiative Cards,Strategic Levers,Paid Sessions,January,124689,85232,124689,85232.03
Initiative Cards-Strategic Levers-Paid Sessions-February,Initiative Cards,Strategic Levers,Paid Sessions,February,1948898,1637401,2073587,1722633.41
Initiative Cards-Strategic Levers-Paid Sessions-March,Initiative Cards,Strategic Levers,Paid Sessions,March,3412445,1658749,5486032,3381382.42
Initiative Cards-Strategic Levers-Paid Sessions-April,Initiative Cards,Strategic Levers,Paid Sessions,April,1989243,685651,7475275,4067033.72
Initiative Cards-Strategic Levers-Paid Sessions-May,Initiative Cards,Strategic Levers,Paid Sessions,May,2329821,1969276,9805096,6036309.59
Initiative Cards-Strategic Levers-Paid Sessions-June,Initiative Cards,Strategic Levers,Paid Sessions,June,0,1163017,9805096,7199326.64
Initiative Cards-Strategic Levers-Paid Sessions-July,Initiative Cards,Strategic Levers,Paid Sessions,July,0,676067,9805096,7875394
Initiative Cards-Strategic Levers-Paid Sessions-August,Initiative Cards,Strategic Levers,Paid Sessions,August,0,542832,9805096,8418226.18
