Key,Initiative Cards,Sub Initiative,Metric,Month,Actual,Forecast,YTD Actual Totals,YTD Forecast Totals
Initiative Cards-Brand Awareness T1-Impressions-January,Initiative Cards,Brand Awareness T1,Impressions,January,991848138,706890445,991848138,706890444.6
Initiative Cards-Brand Awareness T1-Impressions-February,Initiative Cards,Brand Awareness T1,Impressions,February,567333002,562893716,1559181140,1269784161
Initiative Cards-Brand Awareness T1-Impressions-March,Initiative Cards,Brand Awareness T1,Impressions,March,1181770270,968147618,2740951410,2237931779
Initiative Cards-Brand Awareness T1-Impressions-April,Initiative Cards,Brand Awareness T1,Impressions,April,1108240166,723410693,3849191576,2961342472
Initiative Cards-Brand Awareness T1-Impressions-May,Initiative Cards,Brand Awareness T1,Impressions,May,1540490634,1390043335,5389682210,4351385807
Initiative Cards-Brand Awareness T1-Impressions-June,Initiative Cards,Brand Awareness T1,Impressions,June,0,2090832718,5389682210,6442218525
Initiative Cards-Brand Awareness T1-Impressions-July,Initiative Cards,Brand Awareness T1,Impressions,July,0,1388286468,5389682210,7830504993
Initiative Cards-Brand Awareness T1-Impressions-August,Initiative Cards,Brand Awareness T1,Impressions,August,0,1080742264,5389682210,8911247257
Initiative Cards-Brand Awareness T1-Impressions-September,Initiative Cards,Brand Awareness T1,Impressions,September,0,2879174062,5389682210,11790421319
Initiative Cards-Brand Awareness T1-Impressions-October,Initiative Cards,Brand Awareness T1,Impressions,October,0,2522698037,5389682210,14313119356
Initiative Cards-Brand Awareness T1-Impressions-November,Initiative Cards,Brand Awareness T1,Impressions,November,0,2987908930,5389682210,17301028286
Initiative Cards-Brand Awareness T1-Impressions-December,Initiative Cards,Brand Awareness T1,Impressions,December,0,2343677252,5389682210,19644705538
Initiative Cards-Brand Awareness T1-Engagement-January,Initiative Cards,Brand Awareness T1,Engagement,January,267199057,197448702,267199057,197448701.8
Initiative Cards-Brand Awareness T1-Engagement-February,Initiative Cards,Brand Awareness T1,Engagement,February,136898146,143217024,404097203,340665725.6
Initiative Cards-Brand Awareness T1-Engagement-March,Initiative Cards,Brand Awareness T1,Engagement,March,199895207,124841766,603992410,465507491.7
Initiative Cards-Brand Awareness T1-Engagement-April,Initiative Cards,Brand Awareness T1,Engagement,April,75108140,50969754,679100550,516477245.8
